ID_SAMPLE,PREDICTOR,EST_COEF,STD_ERROR,Z_VALUE,P_VALUE,MODEL_LOG_LIK_LM,MODEL_N,WALD_TEST_SDEPENDANCE_PVALUE,LR_TEST_SDEPENDANCE_PVALUE
"A99_Wtill98q4_creW_b97q4_s03q4","APRSpNF_RATE_W",-0.004561899618600098,0.005956635987649675,-0.765851669979266,0.44376456572538414,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill98q4_creW_b97q4_s03q4","APR_USD_RATE",-0.006782673477805696,0.0023681020252564423,-2.86418127490567,0.004180886713874843,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill98q4_creW_b97q4_s03q4","APR_RATE_W",-0.0053488493823436,0.003146006533904249,-1.7002028841006835,0.08909276997273885,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill98q4_creW_b97q4_s03q4","rho",-0.1967100817520921,0.13748143815028308,1.4308119292225128,0.15248412325181349,"-40.2732636977885",78,0.15248412325181293,"0.186450139828516"
"A99_Wtill98q4_creW_b97q4_s03q4","(Intercept)",1.7415086484836382,0.315809052514885,5.514435493901987,3.49901210228154e-8,"-40.2732636977885",78,0.008213760118329305,"0.0186364825285177"
"A99_Wtill98q4_creW_b97q4_s03q4","ActivoN",4.188668082232851e-8,1.9032456423397923e-8,2.200802665221621,0.027749996841251567,"-40.2732636977885",78,0.008213760118329305,"0.0186364825285177"
"A99_Wtill98q4_creW_b97q4_s03q4","C8Est_w",0.004298545289773535,0.0039564541053475726,1.0864640850916454,0.2772737221713988,"-40.2732636977885",78,0.008213760118329305,"0.0186364825285177"
"A99_Wtill98q4_creW_b97q4_s03q4","CAR_IRR_3A6",-0.017693616740331437,0.006261991077567868,-2.8255576415167245,0.004719839510047841,"-40.2732636977885",78,0.008213760118329305,"0.0186364825285177"
"A99_Wtill98q4_creW_b97q4_s03q4","P_ROA",0.0010083634098066157,0.017355283260825676,0.05810123607044158,0.9536679898164468,"-40.2732636977885",78,0.008213760118329305,"0.0186364825285177"
"A99_Wtill98q4_creW_b97q4_s03q4","P_DEP_ARS_RATE",-0.006342433232208939,0.01864928555041976,-0.34008987717313294,0.7337888447708092,"-40.2732636977885",78,0.008213760118329305,"0.0186364825285177"
"A99_Wtill98q4_creW_b97q4_s03q4","P_LOANS_ARS_RATE_W",0.0011661596202169743,0.005814116067417959,0.20057384591134664,0.8410318103972423,"-40.2732636977885",78,0.008213760118329305,"0.0186364825285177"
"A99_Wtill98q4_creW_b97q4_s03q4","APRSpNF_RATE_W",-0.005249633518261175,0.005819026496052078,-0.9021497877390303,0.36697730400707584,"-40.2732636977885",78,0.008213760118329305,"0.0186364825285177"
"A99_Wtill98q4_creW_b97q4_s03q4","APR_USD_RATE",-0.007164967469377354,0.002299427132593227,-3.1159793532126034,0.0018333510831112232,"-40.2732636977885",78,0.008213760118329305,"0.0186364825285177"
"A99_Wtill98q4_creW_b97q4_s03q4","APR_RATE_W",-0.006492580617104802,0.003115451689282306,-2.0839933546202642,0.03716077174222354,"-40.2732636977885",78,0.008213760118329305,"0.0186364825285177"
"A99_Wtill98q4_creW_b97q4_s03q4","rho",-0.3144650051714581,0.11897338286745805,2.643154271924729,0.008213760118329194,"-40.2732636977885",78,0.008213760118329305,"0.0186364825285177"
