"","FECHA_Q","FECHA_A","IDENT_ACREEDORA","IDENT_DEUDORA","PRESTAMOS","IDENT","A_ActivoN","A_APRestamos","A_GRUPO_ID_UNI","D_ActivoN","D_APRestamos","D_GRUPO_ID_UNI","_merge","W_A_A","W_A_PR","FECHA_D","W_D_A","W_D_A_w","W_D_PR","W_D_PR_w","weight"
"859",1998 Q2,1998,86,93,16.2999992370605,93,186538.328125,94228,5,1226747,560248.3125,5,3,8.73815006343648e-05,0.000172984669916332,1998-04-01,1.32871728055761e-05,1.32871728055761e-05,2.90942407445982e-05,2.90942407445982e-05,0.0172984669916332
"860",1998 Q1,1998,86,179,992.700012207031,179,175543.328125,95118,5,441134,260993.328125,2,3,0.00565501442179084,0.0104365106672049,1998-01-01,0.00225033657625318,0.00225033657625318,0.00380354560911655,0.00380354560911655,1.04365106672049
"861",1998 Q2,1998,86,179,146.699996948242,179,186538.328125,94228,5,446823.5,254141.5,2,3,0.000786433520261198,0.00155686202924699,1998-04-01,0.00032831754651852,0.00032831754651852,0.000577237457036972,0.000577237457036972,0.155686202924699
"862",1998 Q2,1998,86,318,0.100000001490116,318,186538.328125,94228,5,321019.34375,201068.328125,3,3,5.36082893631828e-07,1.06125571619486e-06,1998-04-01,3.11507704964242e-07,3.11507704964242e-07,4.97343364713743e-07,4.97343364713743e-07,0.000106125571619486
"863",1998 Q2,1998,86,321,1.39999997615814,321,186538.328125,94228,5,267327.65625,64126.66796875,3,3,7.50515982872457e-06,1.48575791172334e-05,1998-04-01,5.23701874044491e-06,5.23701874044491e-06,2.18317909457255e-05,2.18317909457255e-05,0.00148575791172334
"864",1998 Q2,1998,86,324,1.39999997615814,324,186538.328125,94228,5,71973.6640625,29737,3,3,7.50515982872457e-06,1.48575791172334e-05,1998-04-01,1.94515596376732e-05,1.94515596376732e-05,4.70793966087513e-05,4.70793966087513e-05,0.00148575791172334
"865",1998 Q2,1998,93,44,0.100000001490116,44,1226747,560248.3125,5,4399586.5,3464912.75,4,3,8.15164042933247e-08,1.78492285840548e-07,1998-04-01,2.27294094656827e-08,2.27294094656827e-08,2.8860755563187e-08,2.8860755563187e-08,1.78492285840548e-05
"866",1998 Q4,1998,97,3,4001.19995117188,3,439950.34375,192346.671875,5,1011248,340557.65625,6,3,0.00909466296434402,0.0208020228892565,1998-10-01,0.00395669508725405,0.00395669508725405,0.0117489648982882,0.0117489648982882,2.08020228892565
"867",1998 Q4,1998,97,27,5001.5,27,439950.34375,192346.671875,5,1081398.375,577215.3125,1,3,0.01136832870543,0.0260025300085545,1998-10-01,0.00462502986192703,0.00462502986192703,0.00866487715393305,0.00866487715393305,2.60025300085545
"868",1998 Q4,1998,97,44,2981.89990234375,44,439950.34375,192346.671875,5,5010025,3783139,4,3,0.00677780993282795,0.0155027369037271,1998-10-01,0.000595186604186893,0.000595186604186893,0.000788207864388824,0.000788207864388824,1.55027369037271
"869",1998 Q4,1998,97,59,2.40000009536743,59,439950.34375,192346.671875,5,773121,362287,3,3,5.4551614994125e-06,1.24774715004605e-05,1998-10-01,3.10430073113821e-06,3.10430073113821e-06,6.62458251099451e-06,6.62458251099451e-06,0.00124774715004605
"870",1998 Q4,1998,97,147,6003.2001953125,147,439950.34375,192346.671875,5,395536.34375,219955.328125,1,3,0.0136451767757535,0.0312103144824505,1998-10-01,0.0151773672550917,0.0151773672550917,0.0272928159683943,0.0272928159683943,3.12103144824505
"871",1998 Q1,1998,113,67,29.7000007629395,67,137871.671875,71051.6640625,3,3659331.75,2421483.25,1,3,0.000215417720028199,0.000418005714891478,1998-01-01,8.11623613117263e-06,8.11623613117263e-06,1.2265209988982e-05,1.2265209988982e-05,0.0418005714891478
"872",1998 Q1,1998,137,7,526,7,283153.65625,144581.328125,2,11715611,5761325.5,3,3,0.00185764860361814,0.00363809079863131,1998-01-01,4.48973587481305e-05,4.48973587481305e-05,9.12984323804267e-05,9.12984323804267e-05,0.363809079863131
"873",1998 Q3,1998,137,7,556.049987792969,7,314563,180655.328125,2,11701492,6244769.5,3,3,0.00176769040990621,0.00307796057313681,1998-07-01,4.75195811304729e-05,4.75195811304729e-05,8.90425144461915e-05,8.90425144461915e-05,0.307796057313681
"874",1998 Q1,1998,137,25,918.799987792969,25,283153.65625,144581.328125,2,625497.6875,349564,1,3,0.0032448812853545,0.00635490054264665,1998-01-01,0.00146891025360674,0.00146891025360674,0.00262841698713601,0.00262841698713601,0.635490054264665
"875",1998 Q3,1998,137,25,862.099975585938,25,314563,180655.328125,2,108406.5,84161.5,1,3,0.00274062738753855,0.00477207079529762,1998-07-01,0.00795247498899698,0.00795247498899698,0.0102434009313583,0.0102434009313583,0.477207079529762
"876",1998 Q1,1998,137,66,4020.5,66,283153.65625,144581.328125,2,83042,52900,5,3,0.0141990045085549,0.0278078783303499,1998-01-01,0.0484152585268021,0.0484152585268021,0.0760018900036812,0.0760018900036812,2.78078783303499
